Title	URL	Assignees	Status	Sprint	Weight	Milestone	Linked pull requests	Repository	Date
Test endpoints: Estudiantes	https://github.com/SchoolSyncAr/schoolsync-be/issues/75	JuanTexeira	In Progress	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
Test endpoints: Padres	https://github.com/SchoolSyncAr/schoolsync-be/issues/76	calipast	Todo	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
DB: implementar borrado logico	https://github.com/SchoolSyncAr/schoolsync-be/issues/77	Lopez-Sol	Done	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-be	
Tests E2E Cypress	https://github.com/SchoolSyncAr/schoolsync-fe/issues/113		Backlog					SchoolSyncAr/schoolsync-fe	
Paginado de notificaciones	https://github.com/SchoolSyncAr/schoolsync-fe/issues/114		Backlog					SchoolSyncAr/schoolsync-fe	
Crear Notificacion: Implementar search dentro de dropdowns	https://github.com/SchoolSyncAr/schoolsync-fe/issues/115		Backlog					SchoolSyncAr/schoolsync-fe	
Navegar a notifications dashboard al hacer click en el logo de SchoolSync	https://github.com/SchoolSyncAr/schoolsync-fe/issues/116	francopolesel	Done	Sprint 5	1	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test: Service Auth	https://github.com/SchoolSyncAr/schoolsync-fe/issues/119	madescoces	Done	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test: Service Notifications	https://github.com/SchoolSyncAr/schoolsync-fe/issues/120	JuanTexeira	In Review	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test: Get All Students	https://github.com/SchoolSyncAr/schoolsync-fe/issues/123	calipast	Todo	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test: Searchbar Component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/124	francopolesel	Done	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test: CreateNotification Component	https://github.com/SchoolSyncAr/schoolsync-fe/issues/125	calipast	In Progress	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Adaptar entidades a nuevo DER	https://github.com/SchoolSyncAr/schoolsync-be/issues/78	Lopez-Sol	Done	Sprint 5	3	SPRINT 5		SchoolSyncAr/schoolsync-be	
Padre: crear filtros por por hijo	https://github.com/SchoolSyncAr/schoolsync-be/issues/85	JuanTexeira	Archived	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-be	
Padre: crear filtros por hijo	https://github.com/SchoolSyncAr/schoolsync-fe/issues/132	JuanTexeira	In Review	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Test Get All Parents	https://github.com/SchoolSyncAr/schoolsync-fe/issues/136	calipast	Todo	Sprint 5	2	SPRINT 5		SchoolSyncAr/schoolsync-fe	
Documentacion: cualidades/drivers conductores del proyecto	https://github.com/SchoolSyncAr/schoolsync-be/issues/87	picsfrunk	Done	Sprint 5	1			SchoolSyncAr/schoolsync-be	
